date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2012-02-15,2025.32 ,0.0113 ,-3412 ,2555 ,-535 ,-400 ,164 ,-36 ,3 ,223 ,-727 ,238 ,1692 ,-287 
2012-02-14,2002.64 ,-0.0015 ,1479 ,209 ,699 ,42 ,-35 ,361 ,-16 ,-42 ,334 ,56 ,-2353 ,-42 
2012-02-13,2005.74 ,0.0060 ,-1786 ,1683 ,-898 ,164 ,-343 ,-142 ,-37 ,70 ,-684 ,73 ,1321 ,-290 
2012-02-10,1993.71 ,-0.0104 ,3195 ,883 ,-2807 ,279 ,-648 ,-1670 ,-2 ,-10 ,-888 ,133 ,-1148 ,-140 
2012-02-09,2014.62 ,0.0054 ,445 ,1053 ,-987 ,-215 ,542 ,-1146 ,-17 ,25 ,-139 ,-38 ,-551 ,53 
2012-02-08,2003.73 ,0.0112 ,-4045 ,3974 ,26 ,-863 ,490 ,540 ,29 ,5 ,-218 ,43 ,-44 ,58 
2012-02-07,1981.59 ,0.0043 ,-2544 ,3649 ,-766 ,641 ,429 ,-1142 ,-26 ,-68 ,-600 ,0 ,-114 ,-212 
2012-02-06,1973.13 ,0.0004 ,-1460 ,1766 ,-388 ,290 ,636 ,-1254 ,30 ,-84 ,42 ,-49 ,119 ,-73 
2012-02-03,1972.34 ,-0.0060 ,3501 ,-1219 ,-2893 ,692 ,123 ,-3485 ,16 ,42 ,-252 ,-29 ,557 ,45 
2012-02-02,1984.30 ,0.0128 ,-7662 ,10096 ,-2063 ,-355 ,577 ,-756 ,-23 ,122 ,-1629 ,0 ,-166 ,-204 
2012-02-01,1959.24 ,0.0018 ,-1976 ,4156 ,-2774 ,-292 ,-70 ,-969 ,-39 ,212 ,-1695 ,80 ,584 ,10 
2012-01-31,1955.79 ,0.0079 ,-323 ,1403 ,-398 ,602 ,-222 ,-724 ,-29 ,61 ,43 ,-130 ,-669 ,-12 
2012-01-30,1940.55 ,-0.0124 ,1715 ,-763 ,-1995 ,504 ,-94 ,-2022 ,-148 ,96 ,-292 ,-38 ,1059 ,-28 
2012-01-27,1964.83 ,0.0039 ,-2509 ,5003 ,-1906 ,-72 ,351 ,-982 ,-9 ,-309 ,-670 ,-216 ,-380 ,-118 
2012-01-26,1957.18 ,0.0025 ,-2701 ,4643 ,-1738 ,684 ,-232 ,-1347 ,90 ,211 ,-1295 ,152 ,-38 ,-169 
2012-01-25,1952.23 ,0.0012 ,-3964 ,9395 ,-5399 ,1577 ,-327 ,-4613 ,-15 ,237 ,-1729 ,-529 ,290 ,-351 
2012-01-20,1949.89 ,0.0182 ,-11515 ,14418 ,-1987 ,-100 ,165 ,-1754 ,23 ,-199 ,-322 ,200 ,-533 ,-369 
2012-01-19,1914.97 ,0.0119 ,-7318 ,7432 ,560 ,739 ,527 ,-828 ,-10 ,124 ,41 ,-33 ,-360 ,-286 
2012-01-18,1892.39 ,-0.0002 ,-2911 ,4471 ,-965 ,1 ,56 ,-508 ,-43 ,169 ,-541 ,-99 ,-649 ,75 
2012-01-17,1892.74 ,0.0180 ,-6763 ,4263 ,666 ,-302 ,638 ,-65 ,-14 ,610 ,-48 ,-151 ,2064 ,-196 
2012-01-16,1859.27 ,-0.0087 ,1406 ,63 ,581 ,162 ,81 ,67 ,-5 ,12 ,-25 ,289 ,-1976 ,-76 
2012-01-13,1875.68 ,0.0060 ,-3375 ,6045 ,3914 ,921 ,424 ,533 ,-59 ,222 ,627 ,1247 ,410 ,-7002 
2012-01-12,1864.57 ,0.0103 ,-2741 ,1699 ,1127 ,-55 ,152 ,204 ,15 ,137 ,395 ,278 ,-189 ,137 
2012-01-11,1845.55 ,-0.0041 ,-858 ,1124 ,712 ,247 ,-561 ,688 ,-12 ,42 ,202 ,105 ,-1131 ,152 
2012-01-10,1853.22 ,0.0146 ,-5370 ,289 ,1895 ,-154 ,680 ,1141 ,-30 ,36 ,-82 ,304 ,4185 ,-961 
2012-01-09,1826.49 ,-0.0090 ,3706 ,-775 ,522 ,-129 ,192 ,225 ,5 ,80 ,138 ,10 ,-3330 ,-142 
2012-01-06,1843.14 ,-0.0111 ,3039 ,-472 ,-697 ,556 ,-77 ,-1199 ,-17 ,-54 ,-110 ,204 ,-1993 ,136 
2012-01-05,1863.74 ,-0.0013 ,-2308 ,-373 ,2623 ,798 ,856 ,483 ,-7 ,317 ,-41 ,217 ,176 ,-76 
2012-01-04,1866.22 ,-0.0049 ,-3921 ,2983 ,997 ,796 ,492 ,-109 ,-5 ,162 ,-350 ,11 ,105 ,-60 
2012-01-03,1875.41 ,0.0269 ,-9710 ,3218 ,2773 ,122 ,1293 ,496 ,-30 ,301 ,-7 ,599 ,4003 ,-92 
2012-01-02,1826.37 ,0.0003 ,72 ,-1005 ,2322 ,264 ,9 ,1601 ,-23 ,104 ,218 ,148 ,-1400 ,29 
2011-12-29,1825.74 ,0.0003 ,-989 ,148 ,1614 ,151 ,-91 ,1316 ,-36 ,-541 ,522 ,293 ,-480 ,-271 
2011-12-28,1825.12 ,-0.0092 ,1842 ,314 ,-170 ,-1225 ,-79 ,161 ,-30 ,-107 ,965 ,144 ,-1825 ,-152 
2011-12-27,1842.02 ,-0.0079 ,-2093 ,966 ,1990 ,777 ,167 ,-190 ,-37 ,122 ,1056 ,94 ,-569 ,-284 
2011-12-26,1856.70 ,-0.0056 ,129 ,842 ,-540 ,282 ,35 ,-525 ,-7 ,-116 ,-36 ,-173 ,-29 ,-379 
2011-12-23,1867.22 ,0.0107 ,-5305 ,1902 ,810 ,-97 ,953 ,-786 ,-54 ,-127 ,1024 ,-102 ,2855 ,-217 
2011-12-22,1847.49 ,-0.0005 ,-753 ,-158 ,917 ,253 ,208 ,-65 ,-34 ,-128 ,661 ,23 ,58 ,-33 
2011-12-21,1848.41 ,0.0309 ,-5690 ,3299 ,1519 ,-520 ,-30 ,1021 ,-15 ,-258 ,769 ,552 ,1814 ,-898 
2011-12-20,1793.06 ,0.0091 ,1668 ,-3240 ,492 ,-159 ,-121 ,402 ,5 ,-59 ,515 ,-91 ,1096 ,-51 
2011-12-19,1776.93 ,-0.0343 ,1666 ,-2409 ,1012 ,-88 ,154 ,-443 ,-30 ,-116 ,1413 ,122 ,-930 ,661 
2011-12-16,1839.96 ,0.0115 ,1452 ,321 ,-338 ,-357 ,-506 ,69 ,9 ,-165 ,681 ,-69 ,-1468 ,18 
2011-12-15,1819.11 ,-0.0208 ,4857 ,-2864 ,-13 ,392 ,272 ,-1271 ,24 ,-152 ,698 ,25 ,-2040 ,55 
2011-12-14,1857.75 ,-0.0034 ,2427 ,-3450 ,390 ,342 ,10 ,94 ,-358 ,-42 ,110 ,232 ,833 ,-185 
2011-12-13,1864.06 ,-0.0188 ,3886 ,-2071 ,1 ,476 ,-434 ,-691 ,-5 ,59 ,850 ,-255 ,-2042 ,197 
2011-12-12,1899.76 ,0.0133 ,-667 ,-2 ,-1272 ,-150 ,-400 ,-974 ,154 ,-266 ,244 ,120 ,1903 ,11 
2011-12-09,1874.75 ,-0.0197 ,5791 ,-4235 ,405 ,225 ,-198 ,-246 ,20 ,-52 ,827 ,-170 ,-2016 ,22 
2011-12-08,1912.39 ,-0.0037 ,-249 ,2034 ,-415 ,1746 ,-362 ,-1483 ,61 ,-423 ,310 ,-264 ,-1142 ,-222 
2011-12-07,1919.42 ,0.0087 ,-2883 ,-256 ,3319 ,911 ,1258 ,14 ,6 ,-256 ,288 ,1098 ,47 ,-198 
2011-12-06,1902.82 ,-0.0104 ,-1274 ,-1512 ,2718 ,337 ,1860 ,-38 ,0 ,-234 ,316 ,475 ,172 ,-14 
2011-12-05,1922.90 ,0.0036 ,-397 ,-652 ,951 ,31 ,1899 ,-677 ,-32 ,-439 ,203 ,-34 ,181 ,-6 
2011-12-02,1916.04 ,-0.0001 ,-4955 ,1022 ,5869 ,1147 ,2481 ,1493 ,7 ,-124 ,499 ,366 ,423 ,-2331 
2011-12-01,1916.18 ,0.0372 ,-16809 ,6336 ,10966 ,502 ,2796 ,5335 ,-48 ,149 ,994 ,1237 ,-472 ,37 
2011-11-30,1847.51 ,-0.0049 ,-6389 ,3951 ,1673 ,567 ,888 ,-713 ,-52 ,-63 ,737 ,308 ,926 ,-98 
2011-11-29,1856.52 ,0.0227 ,-9560 ,4147 ,2465 ,-57 ,604 ,239 ,-33 ,137 ,1064 ,511 ,3938 ,-991 
2011-11-28,1815.28 ,0.0219 ,-3703 ,-1935 ,3777 ,116 ,446 ,1917 ,-9 ,105 ,1005 ,197 ,1553 ,352 
2011-11-25,1776.40 ,-0.0104 ,360 ,-3534 ,2895 ,139 ,307 ,826 ,1 ,-153 ,1816 ,-42 ,229 ,59 
2011-11-24,1795.06 ,0.0067 ,-535 ,-2706 ,3626 ,7 ,906 ,1576 ,10 ,-58 ,738 ,447 ,-342 ,-26 
2011-11-23,1783.10 ,-0.0236 ,3721 ,-4200 ,-27 ,-765 ,588 ,-695 ,12 ,-38 ,812 ,59 ,337 ,178 
2011-11-22,1826.28 ,0.0034 ,1770 ,-3216 ,1377 ,-513 ,433 ,710 ,29 ,96 ,361 ,263 ,-184 ,299 
2011-11-21,1820.03 ,-0.0104 ,2497 ,-2879 ,-99 ,-926 ,-46 ,80 ,5 ,68 ,570 ,150 ,237 ,249 
2011-11-18,1839.17 ,-0.0200 ,6229 ,-4042 ,-1871 ,-604 ,-833 ,-1062 ,12 ,66 ,701 ,-152 ,-676 ,314 
2011-11-17,1876.67 ,0.0111 ,2650 ,-3385 ,-73 ,-610 ,311 ,-128 ,-461 ,21 ,719 ,75 ,602 ,221 
2011-11-16,1856.07 ,-0.0159 ,1592 ,887 ,-770 ,110 ,-360 ,-928 ,458 ,-123 ,123 ,-50 ,-1820 ,102 
2011-11-15,1886.12 ,-0.0088 ,387 ,-753 ,-323 ,386 ,137 ,-1595 ,4 ,-106 ,665 ,185 ,734 ,-1 
2011-11-14,1902.81 ,0.0211 ,-4546 ,1334 ,2552 ,147 ,221 ,1206 ,-500 ,114 ,999 ,365 ,674 ,-10 
2011-11-11,1863.45 ,0.0277 ,2070 ,-2655 ,2789 ,364 ,93 ,1364 ,16 ,-5 ,884 ,74 ,-2482 ,257 
2011-11-10,1813.25 ,-0.0494 ,6282 ,-5048 ,794 ,289 ,495 ,-663 ,474 ,-17 ,428 ,-211 ,-2590 ,551 
2011-11-09,1907.53 ,0.0023 ,-606 ,-2673 ,-346 ,-292 ,198 ,-201 ,-12 ,38 ,-69 ,-8 ,3683 ,-54 
2011-11-08,1903.14 ,-0.0083 ,-1071 ,271 ,-656 ,43 ,188 ,-958 ,-2 ,77 ,119 ,-123 ,1533 ,-47 
2011-11-07,1919.10 ,-0.0048 ,962 ,1379 ,-197 ,-229 ,-398 ,139 ,-133 ,37 ,168 ,219 ,-2277 ,165 
2011-11-04,1928.41 ,0.0313 ,-8223 ,692 ,4602 ,242 ,1242 ,1575 ,14 ,144 ,975 ,411 ,2620 ,375 
2011-11-03,1869.96 ,-0.0148 ,4584 ,-390 ,-1754 ,59 ,-246 ,-1555 ,14 ,16 ,-57 ,15 ,-2344 ,-150 
2011-11-02,1898.01 ,-0.0061 ,1988 ,-3506 ,2681 ,227 ,657 ,676 ,-398 ,87 ,868 ,565 ,-1220 ,43 
2011-11-01,1909.63 ,0.0003 ,-158 ,1673 ,93 ,-35 ,-427 ,-64 ,401 ,10 ,269 ,-62 ,-1734 ,106 
2011-10-31,1909.03 ,-0.0106 ,2477 ,1390 ,-2713 ,-464 ,-790 ,-1249 ,-108 ,-175 ,30 ,44 ,-1101 ,-46 
2011-10-28,1929.48 ,0.0039 ,-6679 ,4713 ,2527 ,299 ,194 ,1782 ,-177 ,-235 ,-139 ,803 ,3 ,-382 
2011-10-27,1922.04 ,0.0146 ,-5088 ,1714 ,2080 ,850 ,216 ,203 ,-96 ,57 ,542 ,307 ,1323 ,-2 
2011-10-26,1894.31 ,0.0030 ,-514 ,-959 ,496 ,235 ,-8 ,-788 ,9 ,9 ,690 ,350 ,869 ,181 
2011-10-25,1888.65 ,-0.0051 ,-1789 ,3496 ,-1890 ,365 ,-837 ,-1548 ,12 ,67 ,166 ,-116 ,1 ,134 
2011-10-24,1898.32 ,0.0326 ,-7368 ,1780 ,2851 ,397 ,-68 ,928 ,-7 ,67 ,1176 ,359 ,2912 ,-212 
2011-10-21,1838.38 ,0.0184 ,263 ,-2641 ,2105 ,170 ,-421 ,557 ,26 ,96 ,1714 ,-37 ,151 ,62 
2011-10-20,1805.09 ,-0.0274 ,906 ,-1134 ,55 ,-208 ,-328 ,-272 ,1 ,-32 ,984 ,-89 ,-44 ,205 
2011-10-19,1855.92 ,0.0093 ,596 ,-314 ,-1102 ,-605 ,-369 ,-132 ,-21 ,33 ,40 ,-48 ,600 ,175 
2011-10-18,1838.90 ,-0.0141 ,2123 ,1459 ,2307 ,770 ,-143 ,-158 ,161 ,127 ,1790 ,-240 ,-208 ,-5659 
2011-10-17,1865.18 ,0.0162 ,-3553 ,2505 ,456 ,-309 ,208 ,-501 ,-19 ,8 ,832 ,239 ,310 ,260 
2011-10-14,1835.40 ,0.0067 ,-1021 ,429 ,691 ,-577 ,-8 ,-625 ,15 ,-184 ,1862 ,209 ,-169 ,64 
2011-10-13,1823.10 ,0.0075 ,-1898 ,4421 ,-1715 ,-841 ,192 ,-1882 ,-22 ,-93 ,1019 ,-87 ,-533 ,-258 
2011-10-12,1809.50 ,0.0081 ,-583 ,-31 ,2302 ,-440 ,197 ,148 ,87 ,83 ,2040 ,187 ,-1764 ,102 
2011-10-11,1795.02 ,0.0162 ,-5958 ,3299 ,2066 ,-392 ,270 ,1875 ,-47 ,20 ,209 ,130 ,808 ,-223 
2011-10-10,1766.44 ,0.0038 ,-969 ,-1018 ,2889 ,191 ,444 ,1194 ,-24 ,63 ,829 ,193 ,-948 ,36 
2011-10-07,1759.77 ,0.0289 ,-8695 ,3813 ,4399 ,399 ,1188 ,934 ,-4 ,321 ,1395 ,164 ,112 ,377 
2011-10-06,1710.32 ,0.0263 ,-7139 ,1146 ,4525 ,-250 ,0 ,3678 ,-8 ,-459 ,938 ,627 ,967 ,470 
2011-10-05,1666.52 ,-0.0233 ,778 ,-2995 ,-752 ,388 ,-644 ,-24 ,-63 ,-109 ,-143 ,-156 ,2503 ,483 
2011-10-04,1706.19 ,-0.0359 ,6503 ,-4511 ,-2018 ,-32 ,-775 ,-2765 ,-35 ,136 ,2389 ,-936 ,-82 ,95 
2011-09-30,1769.65 ,0.0002 ,-1873 ,2183 ,-489 ,-692 ,-657 ,-2350 ,-151 ,2886 ,848 ,-374 ,-175 ,340 
2011-09-29,1769.29 ,0.0268 ,-2996 ,1234 ,2071 ,-1857 ,427 ,1444 ,55 ,-40 ,1998 ,44 ,-174 ,-89 
2011-09-28,1723.09 ,-0.0073 ,-553 ,3223 ,696 ,-516 ,-556 ,303 ,42 ,-462 ,1676 ,210 ,-3668 ,264 
2011-09-27,1735.71 ,0.0502 ,-3222 ,1690 ,239 ,6 ,-754 ,560 ,-26 ,-423 ,793 ,83 ,1487 ,-147 
2011-09-26,1652.71 ,-0.0264 ,-4355 ,-2582 ,3842 ,630 ,105 ,1994 ,-56 ,-480 ,1437 ,211 ,3146 ,-18 
2011-09-23,1697.44 ,-0.0573 ,9071 ,-6677 ,-2316 ,-913 ,-1686 ,-792 ,-2 ,62 ,1250 ,-235 ,-715 ,643 
2011-09-22,1800.55 ,-0.0290 ,7625 ,-3011 ,372 ,-535 ,-390 ,-325 ,-41 ,122 ,1962 ,-422 ,-5145 ,184 
2011-09-21,1854.28 ,0.0089 ,-3240 ,2726 ,536 ,1251 ,-543 ,-535 ,-48 ,16 ,353 ,42 ,198 ,-150 
2011-09-20,1837.97 ,0.0094 ,-2739 ,-1761 ,2036 ,1146 ,-103 ,235 ,6 ,5 ,614 ,132 ,2480 ,58 
2011-09-19,1820.94 ,-0.0104 ,403 ,50 ,1507 ,696 ,-90 ,370 ,16 ,-88 ,547 ,57 ,-1997 ,55 
2011-09-16,1840.10 ,0.0372 ,-11035 ,879 ,6078 ,1420 ,661 ,2175 ,1 ,282 ,995 ,545 ,3822 ,223 
2011-09-15,1774.08 ,0.0142 ,42 ,-1864 ,1270 ,328 ,-684 ,314 ,-2 ,31 ,1196 ,87 ,476 ,145 
2011-09-14,1749.16 ,-0.0352 ,4527 ,-6873 ,781 ,-200 ,-378 ,314 ,-62 ,-97 ,1457 ,-253 ,1159 ,413 
2011-09-09,1812.93 ,-0.0183 ,1457 ,-1132 ,424 ,-165 ,-429 ,-460 ,19 ,63 ,1518 ,-123 ,-809 ,64 
2011-09-08,1846.64 ,0.0072 ,-4999 ,-20 ,5368 ,479 ,-307 ,4262 ,-1 ,226 ,1094 ,-385 ,-435 ,121 
2011-09-07,1833.46 ,0.0378 ,-1311 ,-3277 ,3277 ,233 ,563 ,927 ,-45 ,120 ,1078 ,403 ,1451 ,-129 
2011-09-06,1766.71 ,-0.0107 ,4377 ,-4396 ,310 ,-155 ,-232 ,131 ,-619 ,-180 ,992 ,372 ,-406 ,77 
2011-09-05,1785.83 ,-0.0439 ,7400 ,-3319 ,-4341 ,-657 ,-1890 ,-1063 ,17 ,-101 ,39 ,-685 ,48 ,190 
2011-09-02,1867.75 ,-0.0069 ,3966 ,-800 ,-2793 ,-824 ,-217 ,-1342 ,35 ,12 ,-173 ,-283 ,-1090 ,715 
2011-09-01,1880.70 ,0.0003 ,-6845 ,10926 ,-2673 ,-870 ,-494 ,-855 ,-106 ,-166 ,-312 ,130 ,-1050 ,-323 
2011-08-31,1880.11 ,0.0197 ,-3429 ,2680 ,238 ,-301 ,-43 ,157 ,-7 ,43 ,130 ,259 ,789 ,-247 
2011-08-30,1843.82 ,0.0078 ,156 ,1984 ,-2887 ,-380 ,-803 ,-1109 ,-49 ,-781 ,261 ,-26 ,472 ,252 
2011-08-29,1829.50 ,0.0284 ,-1957 ,-1648 ,3198 ,329 ,807 ,674 ,-2 ,302 ,1080 ,8 ,50 ,342 
2011-08-26,1778.95 ,0.0081 ,-1404 ,-615 ,1771 ,-8 ,350 ,872 ,-200 ,65 ,525 ,168 ,-66 ,319 
2011-08-25,1764.58 ,0.0056 ,-543 ,-453 ,1590 ,-237 ,499 ,308 ,-81 ,289 ,626 ,184 ,-679 ,82 
2011-08-24,1754.78 ,-0.0123 ,2431 ,911 ,-345 ,-867 ,-204 ,182 ,8 ,405 ,172 ,-39 ,-3469 ,445 
2011-08-23,1776.68 ,0.0386 ,-2004 ,-700 ,4254 ,-49 ,1191 ,2751 ,106 ,-234 ,137 ,353 ,-1734 ,136 
2011-08-22,1710.70 ,-0.0196 ,-1909 ,-2399 ,1907 ,1038 ,-43 ,1543 ,-125 ,-996 ,56 ,435 ,1801 ,623 
2011-08-19,1744.88 ,-0.0622 ,1615 ,-2568 ,-3113 ,-378 ,-1109 ,-793 ,-38 ,-820 ,20 ,5 ,4252 ,-152 
2011-08-18,1860.58 ,-0.0170 ,6109 ,-1530 ,-3274 ,-1147 ,-840 ,-2778 ,-11 ,6 ,1788 ,-292 ,-1294 ,-33 
2011-08-17,1892.67 ,0.0068 ,-20 ,-97 ,-196 ,-725 ,255 ,-160 ,-48 ,148 ,88 ,246 ,469 ,-118 
2011-08-16,1879.87 ,0.0483 ,-3944 ,6620 ,-1938 ,-1520 ,394 ,-799 ,-52 ,-26 ,-61 ,125 ,-613 ,-110 
2011-08-12,1793.31 ,-0.0133 ,4914 ,-2792 ,-2539 ,-883 ,-259 ,-452 ,126 ,-204 ,-927 ,59 ,358 ,51 
2011-08-11,1817.44 ,0.0062 ,1081 ,-2826 ,1401 ,-1068 ,-829 ,1070 ,-15 ,438 ,2187 ,-381 ,17 ,294 
2011-08-10,1806.24 ,0.0027 ,15559 ,-12759 ,-2371 ,-1013 ,-988 ,-290 ,-47 ,-134 ,552 ,-452 ,-513 ,-50 
2011-08-09,1801.35 ,-0.0364 ,1199 ,-11717 ,9113 ,686 ,746 ,2587 ,-54 ,-356 ,5057 ,448 ,731 ,625 
2011-08-08,1869.45 ,-0.0382 ,-7333 ,-816 ,6458 ,1562 ,525 ,1438 ,2 ,-1444 ,4079 ,296 ,1490 ,229 
2011-08-05,1943.75 ,-0.0370 ,-5722 ,-4053 ,8980 ,-213 ,781 ,3981 ,293 ,-996 ,4852 ,283 ,856 ,-4 
2011-08-04,2018.47 ,-0.0231 ,4725 ,-4406 ,-1205 ,-2190 ,499 ,502 ,-39 ,-765 ,355 ,434 ,1255 ,-389 
2011-08-03,2066.26 ,-0.0259 ,7179 ,-7815 ,2797 ,638 ,-761 ,244 ,64 ,-80 ,2476 ,216 ,-2618 ,419 
2011-08-02,2121.27 ,-0.0235 ,6806 ,-3710 ,-756 ,-142 ,-389 ,-1605 ,-26 ,-433 ,1849 ,-9 ,-2347 ,40 
2011-08-01,2172.31 ,0.0183 ,-5185 ,2472 ,1014 ,110 ,337 ,-239 ,-40 ,135 ,327 ,384 ,1612 ,25 
2011-07-29,2133.21 ,-0.0105 ,1145 ,-1469 ,1494 ,451 ,-8 ,433 ,19 ,-7 ,273 ,332 ,-1238 ,73 
2011-07-28,2155.85 ,-0.0085 ,1309 ,-1232 ,512 ,752 ,-220 ,-656 ,58 ,132 ,280 ,165 ,-642 ,81 
2011-07-27,2174.31 ,0.0026 ,-2571 ,-439 ,2776 ,732 ,339 ,311 ,47 ,102 ,986 ,258 ,278 ,-65 
2011-07-26,2168.70 ,0.0085 ,-1692 ,-302 ,2716 ,230 ,585 ,1013 ,-55 ,-52 ,681 ,313 ,795 ,-1501 
2011-07-25,2150.48 ,-0.0096 ,1412 ,-625 ,254 ,202 ,157 ,-851 ,-20 ,274 ,250 ,243 ,-1074 ,18 
2011-07-22,2171.23 ,0.0122 ,-5449 ,1637 ,3961 ,1273 ,524 ,1763 ,-46 ,385 ,-186 ,248 ,30 ,-162 
2011-07-21,2145.04 ,-0.0046 ,247 ,-1809 ,1072 ,940 ,-10 ,100 ,25 ,88 ,208 ,-278 ,444 ,15 
2011-07-20,2154.95 ,0.0116 ,-2597 ,-1345 ,673 ,-373 ,125 ,112 ,27 ,154 ,86 ,543 ,3412 ,-134 
2011-07-19,2130.21 ,-0.0001 ,83 ,-3104 ,688 ,-294 ,230 ,334 ,-70 ,18 ,477 ,-6 ,2215 ,108 
2011-07-18,2130.48 ,-0.0069 ,2444 ,-2106 ,1675 ,157 ,-193 ,604 ,-57 ,48 ,903 ,212 ,-1936 ,-75 
2011-07-15,2145.20 ,0.0071 ,-1484 ,-1331 ,2174 ,311 ,-184 ,1352 ,-65 ,127 ,458 ,175 ,660 ,-73 
2011-07-14,2130.07 ,0.0002 ,7492 ,-509 ,2183 ,-159 ,33 ,-619 ,69 ,320 ,1037 ,1502 ,-3122 ,-6105 
2011-07-13,2129.64 ,0.0094 ,3456 ,-1956 ,-464 ,-466 ,55 ,-561 ,159 ,173 ,158 ,19 ,-1066 ,34 
2011-07-12,2109.73 ,-0.0220 ,4721 ,-3856 ,-328 ,949 ,-758 ,-866 ,42 ,55 ,324 ,-74 ,-619 ,87 
2011-07-11,2157.16 ,-0.0106 ,1201 ,1095 ,-2582 ,1010 ,-218 ,-2335 ,34 ,9 ,-900 ,-182 ,-99 ,403 
2011-07-08,2180.35 ,-0.0001 ,21 ,17200 ,-15538 ,418 ,117 ,-571 ,-43 ,-18220 ,321 ,2440 ,72 ,-1735 
2011-07-07,2180.59 ,0.0043 ,-6265 ,5380 ,1304 ,595 ,171 ,220 ,81 ,-150 ,277 ,111 ,-186 ,-187 
2011-07-06,2171.19 ,0.0044 ,-776 ,1702 ,-690 ,-447 ,408 ,-1103 ,88 ,94 ,-119 ,389 ,53 ,-286 
2011-07-05,2161.75 ,0.0077 ,-5722 ,3749 ,2151 ,68 ,1252 ,993 ,-93 ,119 ,164 ,-352 ,376 ,-562 
2011-07-04,2145.30 ,0.0092 ,-3735 ,1609 ,1210 ,76 ,363 ,-219 ,-35 ,276 ,284 ,465 ,1008 ,-91 
2011-07-01,2125.74 ,0.0119 ,-5793 ,1661 ,3695 ,726 ,633 ,1016 ,1 ,274 ,712 ,333 ,507 ,-41 
2011-06-30,2100.69 ,0.0030 ,-3304 ,1830 ,1483 ,-368 ,807 ,1769 ,-518 ,-535 ,439 ,-110 ,-42 ,25 
2011-06-29,2094.42 ,0.0153 ,-5497 ,4215 ,904 ,-89 ,206 ,1130 ,-368 ,17 ,-215 ,225 ,549 ,-158 
2011-06-28,2062.91 ,-0.0036 ,-2169 ,-345 ,166 ,375 ,-166 ,912 ,-1023 ,-276 ,230 ,114 ,3103 ,-731 
2011-06-27,2070.29 ,-0.0098 ,3973 ,-1028 ,2178 ,612 ,275 ,678 ,-2 ,-23 ,602 ,36 ,-5217 ,96 
2011-06-24,2090.81 ,0.0170 ,-6384 ,528 ,5134 ,630 ,676 ,2877 ,-71 ,38 ,511 ,473 ,712 ,-18 
2011-06-23,2055.86 ,-0.0039 ,1570 ,-1324 ,657 ,571 ,-195 ,477 ,31 ,-26 ,75 ,-276 ,-985 ,31 
2011-06-22,2063.90 ,0.0077 ,-3163 ,-158 ,3122 ,515 ,778 ,1018 ,-30 ,91 ,345 ,405 ,369 ,-157 
2011-06-21,2048.17 ,0.0141 ,-2401 ,24 ,1206 ,-825 ,262 ,1121 ,-47 ,-198 ,-43 ,936 ,1368 ,-206 
2011-06-20,2019.65 ,-0.0060 ,-493 ,-1295 ,1645 ,696 ,209 ,488 ,-54 ,-71 ,159 ,218 ,347 ,-187 
2011-06-17,2031.93 ,-0.0072 ,706 ,-1883 ,-1995 ,219 ,-391 ,-449 ,-43 ,-643 ,-532 ,-156 ,3352 ,-180 
2011-06-16,2046.63 ,-0.0191 ,3197 ,-2112 ,443 ,660 ,-247 ,-383 ,212 ,-29 ,348 ,-118 ,-1530 ,-29 
2011-06-15,2086.53 ,0.0047 ,-1796 ,133 ,1693 ,383 ,905 ,-61 ,186 ,143 ,12 ,126 ,276 ,-329 
2011-06-14,2076.83 ,0.0137 ,-4435 ,-474 ,3710 ,461 ,696 ,1083 ,39 ,296 ,347 ,788 ,1199 ,52 
2011-06-13,2048.74 ,0.0010 ,-1471 ,-2019 ,125 ,344 ,-207 ,585 ,-33 ,-420 ,-420 ,276 ,3355 ,28 
2011-06-10,2046.67 ,-0.0119 ,3415 ,-357 ,-633 ,786 ,-893 ,-505 ,20 ,96 ,-33 ,-104 ,-2148 ,-295 
2011-06-09,2071.42 ,-0.0057 ,6541 ,-6609 ,2223 ,-144 ,283 ,1766 ,81 ,141 ,184 ,-88 ,-2125 ,-39 
2011-06-08,2083.35 ,-0.0078 ,3596 ,901 ,-2285 ,325 ,-504 ,-1113 ,-25 ,-482 ,-333 ,-153 ,-2195 ,-34 
2011-06-07,2099.71 ,-0.0065 ,162 ,2193 ,-2305 ,-407 ,-232 ,-1055 ,-3 ,-210 ,-444 ,46 ,286 ,-317 
2011-06-03,2113.47 ,-0.0003 ,-485 ,257 ,-1780 ,-555 ,-44 ,-317 ,40 ,-17 ,-781 ,-106 ,2565 ,-516 
2011-06-02,2114.20 ,-0.0127 ,2860 ,-351 ,-481 ,266 ,-54 ,-821 ,-56 ,118 ,-3 ,69 ,-2365 ,303 
2011-06-01,2141.34 ,-0.0005 ,-507 ,491 ,-470 ,168 ,-365 ,-800 ,706 ,368 ,-423 ,-124 ,520 ,-34 
2011-05-31,2142.47 ,0.0232 ,-12411 ,4871 ,1747 ,-835 ,526 ,1503 ,-534 ,195 ,223 ,668 ,5955 ,-120 
2011-05-30,2093.79 ,-0.0031 ,1631 ,-846 ,-924 ,572 ,-97 ,-887 ,-431 ,171 ,4 ,-256 ,123 ,8 
