date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2014-05-07,1939.88 ,-0.0100 ,2528 ,-3260 ,611 ,-155 ,-72 ,726 ,5 ,-119 ,244 ,-5 ,-14 ,129 
2014-05-02,1959.44 ,-0.0012 ,1320 ,-1504 ,97 ,-873 ,294 ,235 ,15 ,45 ,145 ,233 ,3 ,99 
2014-04-30,1961.79 ,-0.0015 ,887 ,-823 ,-206 ,309 ,128 ,-570 ,52 ,-57 ,84 ,-122 ,-29 ,133 
2014-04-29,1964.77 ,-0.0023 ,575 ,-1596 ,888 ,208 ,-10 ,453 ,-13 ,-92 ,95 ,305 ,-60 ,132 
2014-04-28,1969.26 ,-0.0012 ,511 ,-1166 ,739 ,275 ,-256 ,-266 ,30 ,-65 ,635 ,334 ,52 ,37 
2014-04-25,1971.66 ,-0.0134 ,1999 ,379 ,-2556 ,-166 ,-63 ,-997 ,-10 ,-1361 ,-70 ,68 ,42 ,191 
2014-04-24,1998.34 ,-0.0010 ,502 ,730 ,-1211 ,-1 ,-41 ,-1173 ,3 ,-73 ,-77 ,240 ,-88 ,3 
2014-04-23,2000.37 ,-0.0019 ,196 ,2567 ,342 ,-369 ,31 ,-367 ,-38 ,-88 ,1080 ,120 ,-28 ,-3053 
2014-04-22,2004.22 ,0.0025 ,-922 ,1068 ,113 ,165 ,441 ,-340 ,-760 ,-297 ,620 ,231 ,53 ,-217 
2014-04-21,1999.22 ,-0.0025 ,496 ,755 ,-1207 ,-210 ,-93 ,-883 ,-81 ,-55 ,-166 ,295 ,-16 ,10 
2014-04-18,2004.28 ,0.0061 ,-2765 ,1211 ,1570 ,864 ,184 ,-136 ,-145 ,-56 ,228 ,603 ,28 ,30 
2014-04-17,1992.05 ,-0.0001 ,-55 ,1703 ,-1644 ,-247 ,-702 ,-373 ,-39 ,-158 ,199 ,-317 ,-6 ,64 
2014-04-16,1992.21 ,0.0000 ,585 ,493 ,-1034 ,-767 ,177 ,-175 ,3 ,-158 ,-254 ,105 ,34 ,2 
2014-04-15,1992.27 ,-0.0024 ,1891 ,1249 ,-3110 ,-1719 ,-106 ,-712 ,-44 ,-222 ,-160 ,-238 ,92 ,22 
2014-04-14,1997.02 ,-0.0002 ,71 ,-13 ,-134 ,-483 ,-191 ,173 ,20 ,-120 ,222 ,133 ,112 ,111 
2014-04-11,1997.44 ,-0.0056 ,898 ,1169 ,-1808 ,-1334 ,128 ,-817 ,-93 ,-135 ,721 ,-367 ,89 ,-280 
2014-04-10,2008.61 ,0.0048 ,-1656 ,3089 ,-1285 ,-34 ,58 ,-1122 ,-28 ,-347 ,358 ,-283 ,114 ,-126 
2014-04-09,1998.95 ,0.0030 ,-4084 ,3632 ,676 ,811 ,9 ,-525 ,-19 ,-290 ,314 ,182 ,195 ,-192 
2014-04-08,1993.03 ,0.0017 ,-917 ,782 ,219 ,-108 ,-93 ,-242 ,0 ,-123 ,114 ,499 ,172 ,-59 
2014-04-07,1989.70 ,0.0008 ,570 ,1603 ,-2128 ,-882 ,-174 ,-817 ,-56 ,-89 ,63 ,-258 ,85 ,-61 
2014-04-04,1988.09 ,-0.0028 ,-704 ,1141 ,-550 ,393 ,113 ,-1238 ,-13 ,-49 ,450 ,-250 ,45 ,114 
2014-04-03,1993.70 ,-0.0018 ,-1288 ,3546 ,-2386 ,-587 ,81 ,-1592 ,-41 ,-35 ,440 ,-584 ,-69 ,118 
2014-04-02,1997.25 ,0.0026 ,-1716 ,4382 ,-2632 ,-870 ,-118 ,-1140 ,-52 ,7 ,9 ,-428 ,-41 ,-26 
2014-04-01,1991.98 ,0.0032 ,-1089 ,2115 ,-1058 ,-899 ,359 ,-967 ,-7 ,23 ,267 ,165 ,2 ,9 
2014-03-31,1985.61 ,0.0023 ,-1858 ,3192 ,-1033 ,-271 ,507 ,-1065 ,-46 ,-108 ,209 ,-232 ,-26 ,-286 
2014-03-28,1981.00 ,0.0015 ,-1674 ,2324 ,-713 ,-400 ,502 ,-917 ,-18 ,-79 ,-56 ,276 ,-20 ,51 
2014-03-27,1977.97 ,0.0070 ,-2066 ,2336 ,-409 ,-392 ,-183 ,-515 ,16 ,-195 ,707 ,166 ,-14 ,154 
2014-03-26,1964.31 ,0.0119 ,-3008 ,805 ,2032 ,683 ,575 ,151 ,-15 ,-61 ,74 ,592 ,32 ,207 
2014-03-25,1941.25 ,-0.0022 ,-114 ,-870 ,813 ,165 ,49 ,862 ,6 ,-176 ,-8 ,-100 ,15 ,179 
2014-03-24,1945.55 ,0.0055 ,-1097 ,423 ,517 ,-180 ,276 ,503 ,-26 ,-120 ,-15 ,63 ,16 ,132 
2014-03-21,1934.94 ,0.0080 ,-294 ,-702 ,1139 ,-438 ,59 ,1289 ,41 ,-1 ,481 ,-279 ,-12 ,-177 
2014-03-20,1919.52 ,-0.0094 ,2398 ,-2109 ,-426 ,127 ,116 ,-357 ,-1 ,51 ,39 ,-375 ,-27 ,138 
2014-03-19,1937.68 ,-0.0013 ,-142 ,-670 ,556 ,323 ,-200 ,251 ,0 ,-8 ,141 ,33 ,16 ,260 
2014-03-18,1940.21 ,0.0066 ,-802 ,-1488 ,2037 ,-150 ,352 ,835 ,39 ,61 ,343 ,525 ,33 ,245 
2014-03-17,1927.53 ,0.0040 ,290 ,-2296 ,1704 ,-16 ,221 ,827 ,-18 ,-8 ,539 ,107 ,52 ,281 
2014-03-14,1919.90 ,-0.0075 ,2275 ,-4773 ,2265 ,235 ,-106 ,1085 ,-50 ,151 ,586 ,377 ,-11 ,224 
